714,169,12
169,236,12
526,81,12
976,178,12
730,637,12
789,299,12
110,274,12
754,264,12
812,154,12
328,358,12
652,457,12
901,622,12
378,283,12
355,171,12
867,744,12
822,709,12
941,110,12
39,748,12
614,762,12
316,244,12
747,136,12
756,713,12
721,70,12
722,520,12
160,306,12
306,103,12
897,271,12
504,489,12
158,612,12
867,239,12
868,56,12
648,235,12
239,199,12
426,670,12
602,127,12
102,544,12
292,585,12
416,43,12
309,147,12
262,108,12
585,353,12
547,564,12
380,40,12
816,452,12
622,742,12
604,196,12
162,442,12
315,442,12
297,476,12
315,119,12
684,714,12
38,432,12
144,443,12
686,362,12
710,57,12
383,469,12
91,581,12
935,621,12
668,766,12
547,523,12
528,418,12
637,503,12
125,205,12
945,528,12
611,669,12
580,680,12
848,562,12
586,479,12
101,729,12
568,79,12
60,351,12
163,339,12
285,713,12
159,660,12
711,259,12
457,643,12
394,353,12
629,478,12
79,447,12
636,44,12
205,581,12
438,320,12
51,538,12
223,330,12
517,97,12
215,62,12
727,147,12
881,105,12
938,168,12
666,599,12
