161,325,18
429,661,18
126,687,18
372,229,18
155,712,18
307,112,18
918,724,18
408,677,18
746,196,18
871,173,18
912,546,18
944,350,18
569,41,18
63,357,18
280,672,18
47,31,18
509,474,18
557,377,18
451,762,18
996,525,18
388,309,18
78,562,18
55,469,18
457,118,18
670,98,18
699,54,18
95,651,18
242,620,18
687,330,18
402,518,18
741,29,18
567,86,18
984,265,18
30,509,18
828,748,18
760,542,18
146,599,18
489,128,18
937,553,18
259,422,18
37,174,18
338,292,18
245,644,18
365,336,18
46,291,18
170,52,18
127,714,18
795,428,18
479,346,18
210,159,18
668,690,18
871,615,18
213,738,18
420,121,18
713,208,18
549,400,18
418,425,18
818,200,18
198,360,18
326,754,18
