941,98,6
748,605,6
412,96,6
485,48,6
993,245,6
412,367,6
737,352,6
295,99,6
716,131,6
402,567,6
629,653,6
297,513,6
689,560,6
677,74,6
183,415,6
606,763,6
642,305,6
804,328,6
200,478,6
81,758,6
451,685,6
487,623,6
756,470,6
524,328,6
386,92,6
30,726,6
175,499,6
390,171,6
353,655,6
457,621,6
618,169,6
955,302,6
786,254,6
713,373,6
659,193,6
387,474,6
214,150,6
546,537,6
425,589,6
487,433,6
505,108,6
485,380,6
964,30,6
626,352,6
117,562,6
144,567,6
380,228,6
154,258,6
813,133,6
265,373,6
535,632,6
241,51,6
832,189,6
520,543,6
429,382,6
608,622,6
147,129,6
130,258,6
878,562,6
400,407,6
887,594,6
990,720,6
768,782,6
602,342,6
794,715,6
988,118,6
734,770,6
820,712,6
307,541,6
630,221,6
684,708,6
436,283,6
416,108,6
885,499,6
363,449,6
780,505,6
462,189,6
444,45,6
923,272,6
135,780,6
498,611,6
828,602,6
948,602,6
347,287,6
175,166,6
424,95,6
890,530,6
411,676,6
398,604,6
794,456,6
